college_id,college_name,college_state,college_city,college_type,stream_offered,last_year_cutoff,affiliation,facilities,scholarships_available,admission_status,contact_email,contact_phone,website
COLL0001,Telangana Institute of Commerce Studies,Telangana,City_9,Central University,Commerce,84.1,AICTE,"Digital Classrooms, Labs",SC/ST,Open,info@coll0001.edu.in,+91-3074911044,www.coll0001.ac.in
COLL0002,Odisha Institute of Humanities Studies,Odisha,City_30,Government,Humanities,57.8,NAAC Accredited,"Hostel, Library, Labs",SC/ST,Closed,info@coll0002.edu.in,+91-5112153557,www.coll0002.ac.in
COLL0003,Telangana Institute of Vocational Studies,Telangana,City_10,Government,Vocational,53.3,State Board,"Library, WiFi, Hostel",Minority,Closed,info@coll0003.edu.in,+91-7592065234,www.coll0003.ac.in
COLL0004,Uttar Institute of Science Studies,Uttar Pradesh,City_45,Government Aided,Science (PCM),86.5,AICTE,"Digital Classrooms, Labs",SC/ST,Upcoming,info@coll0004.edu.in,+91-8940961296,www.coll0004.ac.in
COLL0005,West Institute of Science Studies,West Bengal,City_50,Government,Science (PCB),68.5,State Board,"Digital Classrooms, Labs",Need-based,Upcoming,info@coll0005.edu.in,+91-9129456183,www.coll0005.ac.in
COLL0006,Telangana Institute for Advanced Vocational Studies,Telangana,City_37,Government Aided,Vocational,67.7,Autonomous,"Labs, Sports",Need-based,Upcoming,info@coll0006.edu.in,+91-8026906859,www.coll0006.ac.in
COLL0007,Delhi Institute of Commerce Studies,Delhi,City_44,Government,Commerce,72.8,State Board,"Labs, Sports",,Closed,info@coll0007.edu.in,+91-4578014240,www.coll0007.ac.in
COLL0008,Odisha Institute of Science Studies,Odisha,City_4,Government Aided,Science (PCB),78.1,Autonomous,"Library, WiFi, Hostel",SC/ST,Closed,info@coll0008.edu.in,+91-7584284779,www.coll0008.ac.in
COLL0009,Uttar Institute of Humanities Studies,Uttar Pradesh,City_28,Central University,Humanities,60.8,State Board,"Hostel, Library, Labs",Need-based,Closed,info@coll0009.edu.in,+91-9894363560,www.coll0009.ac.in
COLL0010,Uttar Institute of Commerce Studies,Uttar Pradesh,City_23,Government,Commerce,65.1,NAAC Accredited,"Cultural Center, Sports",SC/ST,Open,info@coll0010.edu.in,+91-6641395331,www.coll0010.ac.in
COLL0011,Haryana Institute of Science Studies,Haryana,City_31,Government,Science (PCB),76.1,NAAC Accredited,"Digital Classrooms, Labs",Minority,Upcoming,info@coll0011.edu.in,+91-1188085910,www.coll0011.ac.in
COLL0012,Rajasthan Institute of Vocational Studies,Rajasthan,City_50,Government,Vocational,58.4,State Board,"Labs, Sports",Minority,Closed,info@coll0012.edu.in,+91-5596982253,www.coll0012.ac.in
COLL0013,Madhya Institute of Science Studies,Madhya Pradesh,City_44,Government,Science (PCM),76.6,NAAC Accredited,"Labs, Sports",Merit-based,Open,info@coll0013.edu.in,+91-5630868444,www.coll0013.ac.in
COLL0014,Kerala Institute of Humanities Studies,Kerala,City_9,Government Aided,Humanities,59.3,UGC,"Cultural Center, Sports",Merit-based,Open,info@coll0014.edu.in,+91-5779039345,www.coll0014.ac.in
COLL0015,Haryana Institute of Humanities Studies,Haryana,City_18,Government Aided,Humanities,66.1,State Board,"Hostel, Library, Labs",Need-based,Closed,info@coll0015.edu.in,+91-3977771123,www.coll0015.ac.in
COLL0016,Delhi Institute of Humanities Studies,Delhi,City_14,Government,Humanities,67.0,Autonomous,"Hostel, Library, Labs",SC/ST,Upcoming,info@coll0016.edu.in,+91-8915237187,www.coll0016.ac.in
COLL0017,Odisha Institute for Advanced Humanities Studies,Odisha,City_16,Government,Humanities,70.0,State Board,"Hostel, Library, Labs",SC/ST,Open,info@coll0017.edu.in,+91-8994372596,www.coll0017.ac.in
COLL0018,Madhya Institute for Advanced Science Studies,Madhya Pradesh,City_33,Central University,Science (PCM),69.1,AICTE,"Hostel, Library, Labs",,Closed,info@coll0018.edu.in,+91-7251295562,www.coll0018.ac.in
COLL0019,Karnataka Institute of Science Studies,Karnataka,City_5,Government,Science (PCB),68.5,UGC,"Labs, Sports",Minority,Closed,info@coll0019.edu.in,+91-8608919967,www.coll0019.ac.in
COLL0020,Uttar Institute of Vocational Studies,Uttar Pradesh,City_44,Government,Vocational,67.6,Autonomous,"Hostel, Library, Labs",,Upcoming,info@coll0020.edu.in,+91-1312147378,www.coll0020.ac.in
COLL0021,Delhi Institute of Vocational Studies,Delhi,City_18,Government,Vocational,63.9,AICTE,"Library, WiFi, Hostel",,Open,info@coll0021.edu.in,+91-4155429101,www.coll0021.ac.in
COLL0022,Haryana Institute for Advanced Science Studies,Haryana,City_17,Central University,Science (PCM),48.6,AICTE,"Digital Classrooms, Labs",SC/ST,Open,info@coll0022.edu.in,+91-3339991218,www.coll0022.ac.in
COLL0023,Delhi Institute for Advanced Vocational Studies,Delhi,City_25,Government Aided,Vocational,62.7,NAAC Accredited,"Labs, Sports",Merit-based,Closed,info@coll0023.edu.in,+91-8192287745,www.coll0023.ac.in
